,buying__high,buying__low,buying__med,buying__vhigh,maint__high,maint__low,maint__med,maint__vhigh,doors__2,doors__3,doors__4,doors__5more,persons__2,persons__4,persons__more,lug_boot__big,lug_boot__med,lug_boot__small,safety__high,safety__low,safety__med,acceptance
0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,unacc
1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,unacc
2,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,unacc
3,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,unacc
4,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,unacc
5,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,unacc
6,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,unacc
7,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,unacc
8,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,unacc
9,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,unacc
10,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,unacc
11,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,unacc
12,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,unacc
13,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,unacc
14,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,unacc
15,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,unacc
16,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,unacc
17,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,unacc
18,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,unacc
19,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,unacc
20,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,unacc
21,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,unacc
22,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,unacc
23,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,unacc
24,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,unacc
25,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,unacc
26,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,unacc
27,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,unacc
28,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,unacc
29,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,unacc
30,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,unacc
31,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,unacc
32,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,unacc
33,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,unacc
34,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,unacc
35,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,unacc
36,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,unacc
37,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,unacc
38,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,unacc
39,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,unacc
40,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,unacc
41,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,unacc
42,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,unacc
43,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,unacc
44,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,unacc
45,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,unacc
46,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,unacc
47,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,unacc
48,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,unacc
49,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,unacc
50,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,unacc
51,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,unacc
52,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,unacc
53,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,unacc
54,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,unacc
55,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,unacc
56,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,unacc
57,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,unacc
58,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,unacc
59,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,unacc
60,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,unacc
61,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,unacc
62,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,unacc
63,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,unacc
64,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,unacc
65,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,unacc
66,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,unacc
67,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,unacc
68,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,unacc
69,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,unacc
70,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,unacc
71,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,unacc
72,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,unacc
73,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,unacc
74,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,unacc
75,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,unacc
76,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,unacc
77,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,unacc
78,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,unacc
79,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,unacc
80,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,unacc
81,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,unacc
82,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,unacc
83,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,unacc
84,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,unacc
85,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,unacc
86,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,unacc
87,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,unacc
88,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,unacc
89,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,unacc
